,hero,rad_wins,rad_total,rad_wins/rad_total,dire_wins,dire_total,dire_wins/dire_total
0,anti-mage,759,1394,0.5444763271162123,599,1414,0.42362093352192365
1,axe,617,1098,0.5619307832422586,463,1086,0.4263351749539595
2,bane,271,500,0.542,210,457,0.45951859956236324
3,bloodseeker,286,532,0.5375939849624061,213,497,0.42857142857142855
4,crystal-maiden,777,1276,0.6089341692789969,629,1312,0.4794207317073171
5,drow-ranger,652,1087,0.5998160073597056,475,1061,0.44769085768143263
6,earthshaker,639,1122,0.56951871657754,453,1089,0.41597796143250687
7,juggernaut,1192,2036,0.5854616895874263,930,2119,0.438886267107126
8,mirana,681,1183,0.5756551141166526,463,1124,0.41192170818505336
9,morphling,512,923,0.5547128927410617,407,926,0.43952483801295894
10,shadow-fiend,576,1020,0.5647058823529412,422,991,0.425832492431887
11,phantom-lancer,388,679,0.5714285714285714,258,641,0.40249609984399376
12,puck,239,482,0.495850622406639,201,506,0.39723320158102765
13,pudge,1433,2449,0.5851367905267456,914,2272,0.4022887323943662
14,razor,280,474,0.5907172995780591,174,379,0.45910290237467016
15,sand-king,324,598,0.5418060200668896,261,583,0.44768439108061747
16,storm-spirit,390,739,0.5277401894451962,295,742,0.3975741239892183
17,sven,741,1263,0.5866983372921615,588,1285,0.4575875486381323
18,tiny,315,684,0.4605263157894737,255,695,0.3669064748201439
19,vengeful-spirit,361,607,0.5947281713344317,241,565,0.4265486725663717
20,windranger,846,1433,0.5903698534542917,624,1413,0.4416135881104034
21,zeus,788,1279,0.616106333072713,595,1209,0.4921422663358147
22,kunkka,368,709,0.5190409026798307,282,705,0.4
23,lina,539,985,0.5472081218274112,419,1021,0.4103819784524976
24,lion,964,1815,0.531129476584022,707,1892,0.3736786469344609
25,shadow-shaman,517,916,0.5644104803493449,396,888,0.44594594594594594
26,slardar,498,883,0.5639864099660249,378,827,0.4570737605804111
27,tidehunter,418,665,0.6285714285714286,277,617,0.44894651539708263
28,witch-doctor,772,1326,0.5822021116138764,547,1241,0.44077356970185333
29,lich,474,804,0.5895522388059702,390,824,0.4733009708737864
30,riki,370,644,0.5745341614906833,311,633,0.4913112164296998
31,enigma,222,382,0.581151832460733,153,379,0.40369393139841686
32,tinker,251,472,0.5317796610169492,192,514,0.3735408560311284
33,sniper,885,1520,0.5822368421052632,685,1526,0.4488859764089122
34,necrophos,504,825,0.610909090909091,384,800,0.48
35,warlock,393,617,0.6369529983792545,303,679,0.44624447717231225
36,beastmaster,131,224,0.5848214285714286,90,226,0.39823008849557523
37,queen-of-pain,650,1174,0.5536626916524702,510,1223,0.4170073589533933
38,venomancer,490,785,0.6242038216560509,382,789,0.4841571609632446
39,faceless-void,808,1457,0.5545641729581332,648,1555,0.41672025723472667
40,wraith-king,806,1302,0.6190476190476191,567,1227,0.4621026894865526
41,death-prophet,181,352,0.5142045454545454,155,369,0.42005420054200543
42,phantom-assassin,1035,1825,0.5671232876712329,722,1696,0.4257075471698113
43,pugna,323,541,0.5970425138632163,233,505,0.4613861386138614
44,templar-assassin,243,515,0.47184466019417476,205,545,0.3761467889908257
45,viper,477,820,0.5817073170731707,399,873,0.4570446735395189
46,luna,458,759,0.6034255599472991,336,756,0.4444444444444444
47,dragon-knight,325,603,0.538971807628524,279,653,0.42725880551301687
48,dazzle,477,793,0.6015132408575031,386,840,0.4595238095238095
49,clockwerk,342,609,0.5615763546798029,265,607,0.43657331136738053
50,leshrac,110,243,0.45267489711934156,104,274,0.3795620437956204
51,nature's-prophet,443,872,0.5080275229357798,362,939,0.3855165069222577
52,lifestealer,483,859,0.5622817229336438,352,870,0.4045977011494253
53,dark-seer,167,275,0.6072727272727273,125,285,0.43859649122807015
54,clinkz,529,863,0.6129779837775203,427,844,0.5059241706161137
55,omniknight,126,242,0.5206611570247934,94,215,0.4372093023255814
56,enchantress,216,413,0.5230024213075061,188,435,0.432183908045977
57,huskar,362,627,0.5773524720893142,307,631,0.4865293185419968
58,night-stalker,264,483,0.546583850931677,210,471,0.445859872611465
59,broodmother,206,349,0.5902578796561605,158,328,0.4817073170731707
60,bounty-hunter,427,784,0.5446428571428571,329,775,0.42451612903225805
61,weaver,349,645,0.5410852713178295,277,640,0.4328125
62,jakiro,620,1057,0.586565752128666,499,1020,0.4892156862745098
63,batrider,157,306,0.5130718954248366,98,311,0.31511254019292606
64,chen,70,159,0.44025157232704404,62,137,0.45255474452554745
65,spectre,695,1165,0.5965665236051502,577,1234,0.4675850891410049
66,ancient-apparition,360,592,0.6081081081081081,258,620,0.4161290322580645
67,doom,378,751,0.5033288948069241,303,739,0.4100135317997294
68,ursa,468,875,0.5348571428571428,332,832,0.39903846153846156
69,spirit-breaker,466,787,0.5921219822109276,366,864,0.4236111111111111
70,gyrocopter,221,422,0.523696682464455,188,451,0.41685144124168516
71,alchemist,348,622,0.5594855305466238,250,575,0.43478260869565216
72,invoker,760,1376,0.5523255813953488,608,1439,0.4225156358582349
73,silencer,448,773,0.5795601552393272,329,777,0.42342342342342343
74,outworld-devourer,168,361,0.46537396121883656,146,370,0.3945945945945946
75,lycan,103,192,0.5364583333333334,79,220,0.35909090909090907
76,brewmaster,116,220,0.5272727272727272,127,269,0.4721189591078067
77,shadow-demon,155,321,0.48286604361370716,113,327,0.345565749235474
78,lone-druid,211,371,0.568733153638814,139,331,0.4199395770392749
79,chaos-knight,258,429,0.6013986013986014,177,416,0.4254807692307692
80,meepo,160,308,0.5194805194805194,136,283,0.48056537102473496
81,treant-protector,350,574,0.6097560975609756,279,583,0.47855917667238423
82,ogre-magi,1129,1811,0.6234124792932082,909,1820,0.49945054945054945
83,undying,393,627,0.6267942583732058,290,610,0.47540983606557374
84,rubick,632,1132,0.558303886925795,492,1152,0.4270833333333333
85,disruptor,411,714,0.5756302521008403,317,718,0.4415041782729805
86,nyx-assassin,208,380,0.5473684210526316,146,380,0.38421052631578945
87,naga-siren,186,316,0.5886075949367089,133,320,0.415625
88,keeper-of-the-light,244,475,0.5136842105263157,194,480,0.4041666666666667
89,io,179,370,0.4837837837837838,132,309,0.42718446601941745
90,visage,94,173,0.5433526011560693,69,145,0.47586206896551725
91,slark,793,1442,0.5499306518723994,625,1463,0.42720437457279564
92,medusa,319,619,0.5153473344103393,249,658,0.378419452887538
93,troll-warlord,446,737,0.6051560379918589,356,797,0.4466750313676286
94,centaur-warrunner,308,542,0.5682656826568265,224,527,0.4250474383301708
95,magnus,480,812,0.5911330049261084,345,801,0.4307116104868914
96,timbersaw,279,487,0.5728952772073922,181,498,0.3634538152610442
97,bristleback,572,1040,0.55,494,1099,0.4494995450409463
98,tusk,292,556,0.5251798561151079,233,556,0.41906474820143885
99,skywrath-mage,476,825,0.576969696969697,362,810,0.4469135802469136
100,abaddon,259,438,0.591324200913242,228,482,0.4730290456431535
101,elder-titan,132,231,0.5714285714285714,127,273,0.4652014652014652
102,legion-commander,818,1415,0.5780918727915194,674,1444,0.4667590027700831
103,techies,388,679,0.5714285714285714,318,750,0.424
104,ember-spirit,392,731,0.5362517099863201,283,740,0.3824324324324324
105,earth-spirit,246,451,0.5454545454545454,175,438,0.3995433789954338
106,underlord,400,601,0.6655574043261231,364,634,0.5741324921135647
107,terrorblade,310,577,0.537261698440208,263,582,0.4518900343642612
108,phoenix,319,539,0.5918367346938775,230,526,0.4372623574144487
109,oracle,236,419,0.5632458233890215,151,389,0.38817480719794345
110,winter-wyvern,237,417,0.5683453237410072,186,429,0.43356643356643354
111,arc-warden,245,428,0.572429906542056,170,369,0.46070460704607047
112,monkey-king,521,1004,0.5189243027888446,393,1003,0.3918245264207378
113,dark-willow,300,541,0.5545286506469501,224,516,0.43410852713178294
114,pangolier,274,557,0.4919210053859964,243,610,0.3983606557377049
115,grimstroke,410,803,0.5105853051058531,324,853,0.3798358733880422
116,void-spirit,343,633,0.5418641390205371,240,587,0.4088586030664395
117,snapfire,272,477,0.570230607966457,197,451,0.43680709534368073
118,mars,260,505,0.5148514851485149,204,500,0.408
